z,mass,mass_err,SFR,sSFR,Z_Mannucci,Z_Dopita,deltaZ,Z_R23,Z_NHa,q,surf_bright,HaHb,bdec_frac_err,logR23,logNHa,OIII/OII,NII/OII,OIII/SII,NII/SII,Hbeta_ratio,Hdelta_eqw,D4000,vdisp,A_v
0.126,10.528,0.201,0.205,-10.323,8.960,9.187,0.227,8.997,8.923,6.843,20.677,5.603,0.097,0.417,-0.511,-1.213,-0.454,-0.599,0.160,0.625,1.823,1.363,153.704,1.329
0.120,10.619,0.204,-0.155,-10.774,9.039,9.199,0.159,9.147,8.931,7.167,21.066,5.669,0.179,0.153,-0.503,-0.979,-0.115,-0.716,0.148,0.831,3.881,1.605,43.961,0.872
0.128,10.858,0.290,0.454,-10.405,8.913,9.030,0.117,8.845,8.981,7.111,20.547,5.933,0.107,0.611,-0.457,-0.819,-0.531,-0.244,0.044,0.712,6.346,1.331,154.798,1.979
0.085,10.322,0.208,-0.211,-10.533,9.013,9.203,0.190,9.067,8.958,7.051,20.462,4.642,0.082,0.305,-0.478,-1.047,-0.269,-0.597,0.182,0.520,3.649,1.327,80.305,0.791
0.143,10.763,0.200,-0.058,-10.821,8.994,9.022,0.028,9.095,8.893,7.362,20.731,4.617,0.148,0.254,-0.541,-0.772,-0.185,-0.639,-0.052,2.177,6.423,1.321,113.316,1.086
0.086,9.871,0.168,-0.565,-10.435,8.980,9.036,0.056,9.036,8.923,7.148,20.859,3.825,0.069,0.358,-0.510,-0.899,-0.341,-0.580,-0.023,0.506,6.465,1.226,63.506,1.266
0.086,10.498,0.205,-0.379,-10.877,9.033,9.098,0.065,9.066,9.000,7.425,20.449,5.049,0.138,0.306,-0.442,-0.714,-0.205,-0.420,0.089,0.705,2.918,1.506,47.025,1.132
0.219,11.069,0.208,1.220,-9.849,8.927,9.142,0.215,8.927,0.000,7.226,20.806,5.932,0.062,0.515,-0.356,-0.820,-0.337,-0.316,0.166,0.248,4.392,1.246,170.515,2.391
0.070,9.339,0.272,-0.468,-9.807,8.829,8.797,-0.032,8.801,8.857,7.181,20.651,4.082,0.046,0.654,-0.579,-0.650,-0.667,-0.158,-0.175,0.422,5.194,1.229,33.527,1.276
0.126,10.683,0.209,0.686,-9.996,8.973,9.076,0.102,8.893,9.054,7.336,19.716,4.266,0.022,0.556,-0.402,-0.679,-0.394,-0.170,0.116,0.289,5.083,1.161,104.037,1.471
0.155,10.458,0.192,0.475,-9.983,8.914,9.062,0.148,8.944,8.883,7.055,20.661,4.547,0.040,0.493,-0.550,-0.892,-0.515,-0.308,0.069,0.465,4.531,1.169,122.624,0.747
0.083,10.373,0.196,-0.612,-10.986,8.583,9.006,0.423,8.583,0.000,6.776,21.274,5.749,0.247,0.813,-0.348,-1.164,-0.671,-0.543,-0.050,1.149,6.549,1.253,69.463,0.869
0.084,10.511,0.194,-0.150,-10.661,8.976,9.204,0.229,8.976,0.000,7.188,20.325,6.161,0.127,0.449,-0.319,-0.901,-0.258,-0.415,0.228,1.565,3.561,1.439,105.916,1.144
0.123,11.030,0.192,0.578,-10.451,9.028,9.178,0.149,9.028,0.000,7.296,19.483,4.993,0.043,0.370,-0.339,-0.831,-0.175,-0.481,0.175,0.732,4.700,1.334,163.652,0.960
0.122,10.607,0.169,0.159,-10.448,9.043,9.238,0.195,9.129,8.957,7.233,20.132,4.424,0.050,0.190,-0.479,-0.907,-0.137,-0.518,0.252,0.734,4.636,1.335,96.690,0.978
0.092,10.085,0.195,-0.679,-10.763,9.029,9.099,0.070,9.016,9.043,7.223,20.791,3.649,0.087,0.390,-0.409,-0.863,-0.264,-0.536,0.063,0.596,5.859,1.229,21.643,1.107
0.121,10.463,0.199,-0.069,-10.532,9.050,9.241,0.191,9.095,9.005,6.880,20.613,4.846,0.092,0.255,-0.438,-1.290,-0.209,-0.924,0.157,0.736,2.312,1.301,90.954,0.624
0.126,10.758,0.206,0.092,-10.667,8.994,9.179,0.184,8.994,0.000,7.158,20.705,5.313,0.082,0.422,-0.366,-0.937,-0.249,-0.521,0.167,0.659,1.235,1.408,137.833,1.034
0.155,10.805,0.197,-0.003,-10.809,9.016,9.090,0.075,9.112,8.920,7.652,20.429,4.160,0.077,0.224,-0.514,-0.587,-0.156,-0.334,0.098,0.780,3.244,1.375,115.480,1.053
0.153,10.904,0.190,0.292,-10.612,8.980,9.188,0.208,8.980,0.000,7.148,20.369,4.911,0.084,0.442,-0.362,-0.932,-0.278,-0.460,0.194,0.662,1.742,1.453,165.949,1.152
0.098,10.262,0.189,-0.010,-10.271,8.920,9.027,0.107,8.894,8.945,7.078,20.757,4.710,0.047,0.555,-0.490,-0.866,-0.516,-0.328,0.022,0.422,6.180,1.280,66.649,1.348
0.098,10.355,0.171,0.246,-10.110,8.988,9.102,0.115,9.038,8.937,7.156,20.278,4.685,0.029,0.354,-0.497,-0.895,-0.333,-0.482,0.080,0.447,6.189,1.224,124.874,1.473
0.091,10.553,0.187,0.008,-10.545,9.042,9.189,0.147,9.095,8.989,7.160,20.331,5.099,0.049,0.254,-0.451,-0.959,-0.195,-0.603,0.161,0.580,3.844,1.361,108.510,1.392
0.125,9.050,0.235,-0.255,-9.305,8.591,8.537,-0.054,8.560,8.623,7.174,22.121,3.885,0.058,0.825,-0.857,-0.421,-1.025,0.268,-0.335,0.245,10.774,1.220,0.000,0.870
0.099,10.729,0.272,-0.127,-10.857,8.962,9.046,0.085,8.923,9.000,7.244,20.724,4.512,0.053,0.520,-0.442,-0.754,-0.407,-0.295,0.053,0.441,4.777,1.352,114.300,1.815
0.149,11.241,0.202,0.369,-10.872,9.039,9.119,0.080,9.039,0.000,7.333,19.778,5.100,0.098,0.353,-0.389,-0.793,-0.194,-0.504,0.095,0.530,1.790,1.568,223.770,1.012
0.122,10.488,0.204,0.328,-10.160,8.991,9.278,0.287,8.991,0.000,6.889,20.887,6.004,0.073,0.426,-0.364,-1.241,-0.293,-0.676,0.271,0.530,4.976,1.311,103.462,1.104
0.098,10.258,0.179,-0.271,-10.529,8.850,8.903,0.053,8.800,8.899,7.096,20.630,4.041,0.047,0.655,-0.534,-0.761,-0.644,-0.199,-0.082,0.542,9.271,1.205,101.889,1.649
0.091,10.132,0.185,-0.469,-10.601,8.851,8.803,-0.048,8.770,8.932,7.073,20.838,5.119,0.119,0.683,-0.502,-0.790,-0.640,-0.359,-0.209,1.212,1.582,1.334,74.194,0.713
0.132,10.217,0.158,-0.206,-10.423,8.998,9.027,0.029,9.052,8.944,7.327,20.991,3.528,0.048,0.330,-0.491,-0.762,-0.274,-0.505,-0.017,0.402,6.565,1.205,97.686,1.315
0.150,10.921,0.200,0.325,-10.596,9.049,9.173,0.124,9.106,8.992,7.546,20.257,4.647,0.059,0.234,-0.448,-0.656,-0.117,-0.337,0.202,0.686,2.882,1.453,113.373,1.090
0.143,10.435,0.174,0.006,-10.428,8.965,9.045,0.080,8.978,8.952,7.105,20.625,4.020,0.059,0.446,-0.483,-0.922,-0.382,-0.544,-0.004,0.910,5.841,1.302,59.726,2.173
0.120,10.525,0.214,-0.295,-10.820,9.077,9.182,0.105,9.117,9.038,7.552,20.472,4.518,0.096,0.214,-0.413,-0.673,-0.053,-0.427,0.193,1.285,3.475,1.478,104.191,0.760
0.153,10.805,0.205,-0.010,-10.815,9.116,9.191,0.074,9.201,9.031,7.471,20.754,4.353,0.106,0.036,-0.417,-0.771,0.077,-0.710,0.139,0.806,5.403,1.367,143.079,1.536
0.168,10.946,0.212,0.094,-10.852,9.095,9.260,0.165,9.095,0.000,7.375,20.382,4.242,0.109,0.255,-0.289,-0.807,-0.034,-0.473,0.299,1.044,3.086,1.378,108.462,0.492
0.089,9.816,0.252,-0.116,-9.932,8.867,8.823,-0.044,8.911,8.822,7.199,20.608,3.908,0.032,0.534,-0.617,-0.681,-0.587,-0.266,-0.172,0.338,6.123,1.169,0.000,1.533
0.098,10.666,0.192,-0.099,-10.765,9.025,9.100,0.075,9.025,0.000,7.787,20.080,5.185,0.090,0.375,-0.385,-0.520,-0.157,-0.229,0.133,1.051,2.970,1.380,93.182,1.085
0.083,10.670,0.184,-0.255,-10.925,9.135,9.187,0.053,9.135,0.000,7.819,20.327,4.953,0.084,0.179,-0.311,-0.605,0.114,-0.547,0.172,0.598,-0.719,1.452,115.234,1.349
0.135,10.883,0.182,0.623,-10.260,9.083,9.194,0.111,9.125,9.041,7.365,19.517,4.629,0.030,0.198,-0.410,-0.810,-0.048,-0.592,0.170,0.504,4.744,1.309,107.017,1.026
0.152,10.931,0.207,0.516,-10.414,8.878,9.254,0.376,8.878,0.000,7.061,20.576,7.734,0.223,0.575,-0.364,-0.951,-0.412,-0.154,0.385,1.417,0.489,1.559,174.744,1.327
0.080,9.841,0.173,-0.572,-10.413,8.855,8.800,-0.055,8.864,8.847,7.157,20.676,3.717,0.053,0.589,-0.590,-0.703,-0.628,-0.269,-0.194,0.598,5.011,1.230,57.288,0.886
0.144,10.877,0.204,0.163,-10.714,9.048,9.276,0.227,9.126,8.970,6.835,20.368,5.361,0.138,0.195,-0.467,-1.368,-0.146,-1.046,0.175,1.271,2.638,1.352,119.385,1.101
0.080,10.364,0.200,0.273,-10.091,8.888,8.963,0.075,8.891,8.885,7.093,19.954,4.487,0.022,0.559,-0.548,-0.813,-0.569,-0.285,-0.041,0.329,5.246,1.186,101.292,1.559
0.144,10.994,0.252,0.229,-10.765,8.892,9.092,0.200,8.785,8.999,7.163,20.786,6.275,0.158,0.670,-0.442,-0.744,-0.553,-0.024,0.167,1.413,0.264,1.463,125.917,1.639
0.145,10.653,0.179,0.412,-10.241,9.009,9.193,0.185,9.055,8.962,7.142,20.121,4.674,0.049,0.325,-0.474,-0.939,-0.279,-0.459,0.202,0.651,2.762,1.332,97.192,0.864
0.080,9.612,0.154,-0.458,-10.070,8.771,8.709,-0.063,8.762,8.781,7.178,21.040,3.678,0.036,0.690,-0.664,-0.587,-0.769,-0.056,-0.237,0.347,7.779,1.158,28.764,1.353
