z,mass,mass_err,SFR,sSFR,Z_Mannucci,Z_Dopita,deltaZ,Z_R23,Z_NHa,q,surf_bright,HaHb,bdec_frac_err,logR23,logNHa,OIII/OII,NII/OII,OIII/SII,NII/SII,Hbeta_ratio,Hdelta_eqw,D4000,vdisp,A_v
0.094,9.897,0.343,0.112,-9.785,8.866,8.873,0.007,8.903,8.830,7.325,20.526,3.602,0.020,0.545,-0.608,-0.571,-0.565,-0.097,-0.090,0.173,5.360,1.137,45.974,0.877
0.070,10.461,0.174,-0.119,-10.580,9.013,9.215,0.202,9.079,8.947,6.901,20.075,4.824,0.041,0.284,-0.488,-1.238,-0.269,-0.824,0.144,0.527,5.260,1.251,112.444,1.424
0.084,10.044,0.170,-0.560,-10.605,9.022,9.110,0.088,9.068,8.977,7.277,20.721,3.706,0.052,0.304,-0.461,-0.827,-0.235,-0.509,0.084,0.562,6.547,1.264,0.000,1.229
0.090,10.074,0.179,-0.641,-10.714,8.985,9.088,0.103,9.009,8.961,7.249,21.017,4.173,0.095,0.400,-0.475,-0.790,-0.341,-0.359,0.090,0.775,4.011,1.284,89.203,0.469
0.105,10.087,0.145,-0.035,-10.122,8.853,8.868,0.014,8.863,8.844,7.283,20.347,3.669,0.030,0.591,-0.593,-0.586,-0.597,-0.082,-0.093,0.449,5.809,1.212,110.817,1.289
0.122,10.751,0.190,0.552,-10.198,9.075,9.239,0.164,9.093,9.057,7.275,19.716,4.746,0.034,0.258,-0.399,-0.862,-0.133,-0.459,0.270,0.579,4.114,1.205,105.183,1.021
0.144,10.415,0.168,-0.252,-10.668,9.090,9.145,0.056,9.090,0.000,7.476,20.993,3.572,0.062,0.265,-0.372,-0.734,-0.055,-0.565,0.113,0.715,3.289,1.262,50.649,0.999
0.139,10.389,0.223,-0.441,-10.830,9.002,9.025,0.023,9.056,8.947,7.497,21.077,3.934,0.115,0.324,-0.487,-0.652,-0.216,-0.441,-0.005,0.721,1.201,1.325,52.427,0.404
0.082,9.579,0.172,-0.768,-10.347,8.780,8.659,-0.120,8.767,8.792,7.259,20.812,3.316,0.048,0.685,-0.650,-0.513,-0.736,-0.062,-0.284,0.488,6.065,1.269,78.434,-0.043
0.083,10.206,0.183,0.127,-10.079,9.002,9.123,0.121,9.056,8.948,7.170,19.719,4.425,0.028,0.324,-0.487,-0.908,-0.281,-0.534,0.093,0.520,6.086,1.280,80.630,1.302
0.100,10.797,0.174,1.107,-9.691,8.999,9.134,0.135,8.955,9.044,7.325,19.063,4.799,0.014,0.478,-0.408,-0.729,-0.334,-0.216,0.180,0.223,5.967,1.112,150.506,1.532
0.149,10.916,0.201,0.104,-10.812,8.976,9.279,0.303,9.251,8.976,7.374,19.964,4.192,0.070,-0.084,-0.462,-0.847,0.177,-0.779,0.245,2.659,2.342,1.422,135.515,0.746
0.113,10.596,0.173,0.245,-10.350,8.965,9.119,0.154,8.942,8.987,6.988,20.297,4.992,0.045,0.495,-0.452,-1.025,-0.437,-0.489,0.099,0.700,4.931,1.215,90.208,1.311
0.076,9.526,0.183,-0.174,-9.701,8.722,8.710,-0.012,8.679,8.765,7.140,20.631,3.971,0.027,0.754,-0.683,-0.578,-0.849,0.054,-0.216,0.305,6.671,1.113,56.544,1.818
0.095,10.159,0.186,0.085,-10.075,8.990,9.045,0.055,9.031,8.950,7.294,20.088,4.159,0.026,0.365,-0.485,-0.775,-0.305,-0.453,0.017,0.394,6.637,1.192,69.935,1.860
0.094,9.965,0.173,-0.644,-10.609,9.033,9.035,0.002,9.137,8.928,7.528,20.527,3.248,0.049,0.173,-0.505,-0.663,-0.132,-0.547,-0.016,0.806,3.809,1.198,63.768,1.932
0.095,10.151,0.192,-0.509,-10.660,8.972,9.053,0.082,8.972,0.000,7.500,20.869,4.148,0.073,0.455,-0.386,-0.624,-0.264,-0.299,0.061,0.785,4.114,1.267,108.555,1.028
0.176,11.042,0.215,0.732,-10.310,8.999,9.251,0.252,8.999,0.000,7.325,19.921,5.616,0.079,0.415,-0.358,-0.792,-0.212,-0.223,0.357,0.968,4.948,1.363,166.264,1.459
0.094,10.780,0.196,0.556,-10.224,9.002,9.257,0.255,8.989,9.015,6.919,19.885,7.218,0.064,0.430,-0.430,-1.164,-0.370,-0.511,0.283,0.900,4.124,1.358,168.785,1.347
0.170,10.918,0.207,0.484,-10.434,8.972,9.140,0.168,8.968,8.977,7.041,20.469,5.373,0.101,0.460,-0.461,-0.968,-0.423,-0.401,0.144,0.772,5.417,1.430,153.016,1.137
0.093,10.729,0.194,-0.119,-10.848,9.051,9.251,0.200,9.051,0.000,7.365,19.839,5.061,0.068,0.333,-0.307,-0.798,-0.099,-0.391,0.308,1.054,0.631,1.485,119.448,0.891
0.092,10.518,0.180,0.085,-10.433,9.025,9.210,0.185,9.145,8.905,7.246,19.813,4.614,0.033,0.158,-0.528,-0.893,-0.143,-0.545,0.205,0.604,5.558,1.240,63.690,1.086
0.126,10.186,0.188,-0.327,-10.513,8.953,8.974,0.021,8.990,8.916,7.455,20.788,3.458,0.054,0.428,-0.518,-0.603,-0.360,-0.270,-0.026,0.530,5.889,1.180,97.982,1.037
0.146,10.604,0.174,0.473,-10.132,9.004,9.114,0.110,9.017,8.990,7.344,20.317,4.879,0.046,0.388,-0.450,-0.741,-0.283,-0.331,0.128,0.494,4.988,1.252,143.496,0.774
0.086,10.096,0.176,0.035,-10.061,9.021,9.171,0.150,9.073,8.969,7.161,20.357,4.477,0.030,0.294,-0.468,-0.934,-0.247,-0.535,0.152,0.411,5.940,1.159,65.256,1.280
0.070,10.199,0.171,-0.457,-10.656,9.062,9.217,0.155,9.162,8.963,7.240,20.070,4.186,0.043,0.123,-0.474,-0.924,-0.068,-0.672,0.184,0.708,3.802,1.353,90.018,0.738
0.096,10.180,0.184,0.133,-10.047,9.010,9.129,0.119,9.065,8.956,7.111,20.311,4.727,0.035,0.309,-0.479,-0.974,-0.277,-0.613,0.083,0.512,5.944,1.226,102.908,1.567
0.172,11.136,0.198,1.227,-9.909,8.882,9.180,0.299,8.882,0.000,7.003,20.396,6.944,0.040,0.570,-0.365,-1.010,-0.422,-0.387,0.201,0.425,6.044,1.254,168.014,2.215
0.200,10.201,0.345,0.734,-9.468,8.888,8.976,0.088,8.887,8.890,7.454,20.435,3.610,0.025,0.564,-0.544,-0.504,-0.503,0.039,0.039,0.205,5.594,1.077,69.054,0.962
0.164,10.907,0.194,0.178,-10.729,8.973,9.208,0.235,9.070,8.877,7.855,20.715,5.062,0.112,0.300,-0.557,-0.453,-0.238,0.182,0.397,0.869,0.742,1.371,129.807,0.922
0.100,10.203,0.168,0.307,-9.895,8.936,9.134,0.199,8.936,0.000,7.306,19.970,4.449,0.025,0.504,-0.356,-0.762,-0.309,-0.291,0.162,0.485,7.034,1.208,132.857,1.382
0.108,10.335,0.185,0.249,-10.086,8.991,9.126,0.136,9.049,8.932,7.169,20.088,4.708,0.035,0.336,-0.502,-0.891,-0.315,-0.463,0.114,0.617,5.552,1.204,75.015,1.493
0.083,10.213,0.185,-0.312,-10.525,9.009,9.118,0.108,8.967,9.052,7.290,20.107,4.223,0.051,0.462,-0.403,-0.781,-0.301,-0.352,0.128,0.706,3.976,1.329,116.649,0.830
0.196,10.950,0.200,0.741,-10.209,9.029,9.177,0.148,9.064,8.995,7.299,20.355,4.914,0.059,0.311,-0.446,-0.809,-0.229,-0.383,0.197,0.602,5.004,1.243,122.683,1.920
0.120,10.519,0.198,-0.085,-10.603,9.015,9.229,0.213,9.060,8.971,7.001,20.593,4.967,0.088,0.317,-0.467,-1.102,-0.283,-0.602,0.217,1.021,6.234,1.334,110.365,1.372
0.123,10.768,0.198,0.173,-10.595,9.001,9.227,0.227,9.064,8.938,7.515,20.228,5.212,0.082,0.310,-0.497,-0.639,-0.219,-0.056,0.364,0.830,3.301,1.419,78.878,0.661
0.097,10.856,0.197,-0.045,-10.901,9.116,9.217,0.101,9.164,9.068,7.540,19.816,4.443,0.046,0.118,-0.392,-0.705,0.029,-0.512,0.223,0.717,2.410,1.435,118.226,1.140
0.071,11.146,0.180,0.407,-10.739,8.994,9.108,0.114,8.994,0.000,7.251,18.093,4.319,0.022,0.422,-0.323,-0.861,-0.208,-0.590,0.063,0.522,2.066,1.414,172.620,0.735
0.095,10.107,0.141,-0.208,-10.316,8.960,9.025,0.065,9.012,8.907,7.230,20.630,4.036,0.043,0.396,-0.526,-0.792,-0.374,-0.418,-0.000,0.583,6.114,1.183,49.053,1.423
0.146,10.257,0.187,0.216,-10.042,8.967,9.064,0.097,9.012,8.922,7.072,20.853,4.267,0.045,0.396,-0.511,-0.948,-0.397,-0.528,0.022,0.494,4.088,1.219,100.584,0.308
0.071,9.398,0.132,-1.154,-10.552,8.682,8.578,-0.103,8.688,8.675,7.111,21.317,3.054,0.073,0.747,-0.792,-0.554,-0.936,0.045,-0.337,0.539,8.897,1.335,0.000,-0.085
0.106,10.534,0.193,-0.329,-10.863,9.088,9.264,0.175,9.142,9.034,7.791,20.375,4.139,0.081,0.163,-0.415,-0.597,0.044,-0.276,0.365,0.862,3.174,1.381,99.615,1.192
0.122,10.526,0.179,-0.077,-10.603,9.048,9.182,0.134,9.051,9.046,7.094,20.331,4.080,0.047,0.332,-0.407,-1.015,-0.232,-0.639,0.144,0.796,4.623,1.258,62.562,1.210
0.072,9.788,0.165,-0.619,-10.407,8.934,8.817,-0.117,8.987,8.880,7.628,20.364,3.635,0.037,0.432,-0.553,-0.474,-0.377,-0.277,-0.180,0.657,6.228,1.372,60.737,0.107
0.079,9.560,0.184,-0.181,-9.741,8.805,8.824,0.018,8.809,8.802,7.209,20.498,3.730,0.023,0.647,-0.640,-0.593,-0.705,-0.009,-0.121,0.320,6.556,1.147,55.158,0.931
0.079,9.782,0.180,-0.420,-10.202,8.933,8.994,0.062,8.916,8.949,7.058,20.591,4.076,0.038,0.528,-0.486,-0.908,-0.486,-0.470,-0.048,0.504,4.551,1.275,13.291,0.718
0.071,10.920,0.188,0.223,-10.697,9.020,9.283,0.263,9.108,8.932,7.148,19.113,5.501,0.037,0.231,-0.502,-0.971,-0.199,-0.415,0.357,1.006,4.594,1.363,127.920,1.264
0.072,10.404,0.186,-0.489,-10.893,8.959,9.115,0.156,8.912,9.005,7.041,20.160,4.332,0.051,0.533,-0.438,-0.951,-0.448,-0.386,0.117,0.812,3.573,1.301,64.691,1.525
0.078,10.901,0.182,0.138,-10.762,9.070,9.232,0.163,9.070,0.000,7.433,19.389,4.871,0.037,0.300,-0.326,-0.755,-0.078,-0.403,0.274,0.645,4.242,1.307,127.142,1.447
0.078,9.753,0.164,-0.596,-10.348,8.879,8.929,0.049,8.882,8.877,7.025,20.525,3.562,0.041,0.569,-0.558,-0.874,-0.592,-0.376,-0.094,0.528,4.302,1.244,53.234,0.228
0.112,10.314,0.179,-0.242,-10.556,9.068,9.239,0.171,9.097,9.039,7.365,20.716,4.077,0.064,0.252,-0.412,-0.791,-0.121,-0.380,0.291,0.609,1.932,1.263,119.270,1.209
0.095,10.590,0.192,-0.205,-10.795,9.023,9.122,0.099,9.046,9.000,7.136,20.254,4.568,0.055,0.341,-0.442,-0.958,-0.253,-0.637,0.068,0.838,4.696,1.321,104.965,0.782
0.095,9.945,0.143,-0.409,-10.353,8.918,8.876,-0.042,8.939,8.897,7.171,21.103,3.550,0.035,0.499,-0.537,-0.774,-0.496,-0.434,-0.156,0.342,6.249,1.108,59.862,0.975
0.097,10.303,0.171,-0.253,-10.556,8.922,8.989,0.067,8.941,8.903,7.115,20.711,3.899,0.039,0.496,-0.531,-0.839,-0.493,-0.382,-0.035,0.500,4.979,1.246,76.873,1.912
0.096,10.218,0.234,-0.658,-10.876,9.006,9.036,0.029,8.989,9.024,7.226,20.482,4.649,0.137,0.431,-0.422,-0.835,-0.311,-0.537,-0.013,1.703,0.899,1.435,83.062,0.210
0.095,10.448,0.165,-0.036,-10.484,9.017,9.099,0.082,9.024,9.011,7.197,20.001,4.039,0.035,0.377,-0.433,-0.881,-0.280,-0.537,0.063,0.619,6.551,1.229,78.997,1.623
0.072,10.141,0.185,-0.137,-10.278,8.972,9.202,0.230,8.972,0.000,7.107,19.932,5.258,0.052,0.455,-0.372,-0.965,-0.302,-0.446,0.217,0.893,4.068,1.376,87.096,1.050
0.097,10.287,0.191,-0.139,-10.425,8.973,9.073,0.100,9.062,8.883,7.006,20.656,4.179,0.040,0.313,-0.551,-1.040,-0.370,-0.668,0.002,0.539,6.010,1.151,22.561,1.250
0.095,10.643,0.192,-0.303,-10.946,8.983,9.180,0.197,8.983,0.000,7.165,20.504,4.783,0.077,0.439,-0.382,-0.918,-0.274,-0.462,0.182,0.738,1.401,1.378,101.888,1.038
0.124,10.439,0.180,-0.410,-10.850,9.045,9.133,0.089,9.046,9.043,7.175,21.054,3.939,0.115,0.341,-0.409,-0.928,-0.230,-0.610,0.088,0.922,2.869,1.339,59.936,0.718
0.098,10.240,0.188,0.126,-10.113,9.074,9.184,0.110,9.074,0.000,7.504,20.011,4.243,0.028,0.293,-0.351,-0.703,-0.090,-0.414,0.199,0.458,5.220,1.250,103.924,0.875
0.150,10.722,0.179,0.371,-10.350,9.024,9.199,0.176,9.054,8.993,7.174,20.278,4.790,0.056,0.327,-0.447,-0.922,-0.246,-0.467,0.208,0.724,3.892,1.261,120.537,1.027
0.099,10.259,0.180,-0.735,-10.994,9.071,9.205,0.134,9.083,9.059,7.209,20.766,3.610,0.073,0.276,-0.398,-0.931,-0.138,-0.611,0.182,0.733,3.057,1.280,60.508,0.816
0.077,10.161,0.187,-0.617,-10.778,9.021,9.080,0.059,9.021,0.000,7.334,19.831,3.451,0.041,0.381,-0.376,-0.786,-0.208,-0.539,0.040,0.704,2.852,1.418,85.372,0.413
0.097,10.409,0.192,-0.179,-10.588,9.061,9.117,0.056,9.061,0.000,7.545,19.879,3.900,0.045,0.315,-0.342,-0.666,-0.087,-0.480,0.098,0.527,2.397,1.390,117.040,0.512
0.113,10.431,0.208,-0.473,-10.904,9.029,9.170,0.142,9.021,9.036,7.308,20.935,4.276,0.105,0.381,-0.414,-0.785,-0.263,-0.319,0.203,1.000,2.108,1.329,13.207,0.574
0.097,10.388,0.181,0.027,-10.360,9.040,9.228,0.188,9.031,9.048,7.110,20.144,4.523,0.043,0.365,-0.405,-0.989,-0.249,-0.497,0.243,0.617,4.702,1.250,115.057,1.299
0.078,10.121,0.184,-0.492,-10.613,9.036,9.216,0.180,9.069,9.004,7.050,20.304,4.276,0.058,0.302,-0.439,-1.062,-0.241,-0.629,0.193,0.824,2.781,1.320,80.778,0.736
0.078,9.739,0.169,-0.451,-10.190,9.015,9.094,0.079,9.028,9.001,7.241,20.504,3.624,0.035,0.369,-0.441,-0.837,-0.278,-0.492,0.067,0.436,6.168,1.249,56.840,0.970
0.071,9.806,0.169,-0.638,-10.443,8.829,8.824,-0.005,8.808,8.849,6.995,20.671,4.030,0.050,0.647,-0.587,-0.838,-0.709,-0.308,-0.180,0.689,2.570,1.285,93.222,1.109
0.112,10.420,0.190,0.002,-10.417,9.125,9.282,0.157,9.125,0.000,7.248,20.438,4.772,0.051,0.199,-0.380,-0.916,-0.068,-0.529,0.320,0.723,4.021,1.268,93.916,0.975
0.079,10.009,0.183,-0.513,-10.522,9.048,9.047,-0.000,9.056,9.040,7.223,20.664,4.243,0.054,0.325,-0.411,-0.895,-0.196,-0.742,-0.044,0.575,4.786,1.247,68.142,0.715
0.072,10.079,0.190,-0.415,-10.494,8.970,9.094,0.125,8.970,0.000,7.313,19.959,3.956,0.038,0.457,-0.343,-0.780,-0.263,-0.436,0.080,0.633,4.069,1.363,75.408,0.524
0.096,10.423,0.193,-0.232,-10.654,9.048,9.082,0.034,9.042,9.054,7.606,19.832,3.376,0.033,0.348,-0.401,-0.605,-0.171,-0.349,0.085,0.482,2.698,1.355,85.629,0.321
0.096,10.695,0.197,-0.301,-10.996,8.980,9.149,0.168,8.955,9.006,6.969,20.386,4.771,0.089,0.479,-0.437,-1.080,-0.398,-0.564,0.118,0.806,4.711,1.485,118.664,1.326
0.113,10.068,0.164,0.106,-9.962,8.955,9.045,0.090,8.903,9.007,7.200,20.623,4.381,0.044,0.545,-0.436,-0.784,-0.438,-0.295,0.052,0.514,6.972,1.163,0.000,1.742
0.095,10.548,0.173,-0.299,-10.847,8.980,9.166,0.186,9.035,8.926,7.080,20.816,5.248,0.098,0.359,-0.508,-0.977,-0.336,-0.483,0.158,1.202,1.951,1.334,81.012,1.115
0.072,10.369,0.195,-0.468,-10.837,9.037,9.207,0.170,9.095,8.979,7.302,20.271,4.932,0.070,0.254,-0.459,-0.830,-0.163,-0.441,0.226,0.815,3.576,1.422,82.689,0.788
0.090,10.082,0.176,-0.494,-10.576,8.923,9.006,0.084,8.913,8.932,7.273,20.704,3.800,0.062,0.532,-0.502,-0.681,-0.475,-0.176,0.030,0.442,4.475,1.295,82.724,0.649
0.135,10.505,0.169,-0.035,-10.540,9.008,9.169,0.161,9.092,8.924,6.979,20.741,4.542,0.079,0.259,-0.509,-1.154,-0.238,-0.835,0.081,0.871,5.923,1.229,86.771,0.984
0.127,10.611,0.188,0.104,-10.507,8.991,9.120,0.130,8.925,9.056,7.208,20.299,4.931,0.083,0.518,-0.400,-0.817,-0.374,-0.301,0.142,0.706,1.832,1.389,147.973,0.809
0.117,10.287,0.182,0.350,-9.937,8.977,9.106,0.128,9.023,8.932,7.110,20.502,5.514,0.050,0.378,-0.502,-0.928,-0.360,-0.485,0.083,0.575,4.636,1.224,104.143,1.322
0.095,10.513,0.185,-0.185,-10.698,8.963,9.018,0.055,8.948,8.977,7.431,20.333,4.205,0.050,0.487,-0.461,-0.618,-0.367,-0.217,0.035,0.548,3.916,1.287,125.369,1.238
0.147,11.049,0.201,0.374,-10.675,9.118,9.170,0.052,9.196,9.040,8.070,20.038,5.022,0.131,0.047,-0.411,-0.567,0.152,-0.577,0.142,0.404,2.271,1.439,161.624,0.972
0.133,10.818,0.187,0.581,-10.238,9.043,9.219,0.176,9.076,9.010,7.331,19.936,5.026,0.038,0.289,-0.434,-0.799,-0.181,-0.351,0.268,0.553,5.924,1.258,127.469,1.327
0.103,10.255,0.169,-0.129,-10.385,8.868,9.112,0.244,8.798,8.938,6.678,20.788,5.110,0.117,0.657,-0.496,-1.326,-0.663,-0.597,0.066,0.709,1.848,1.171,168.144,0.593
0.099,10.083,0.176,-0.359,-10.442,8.965,9.020,0.055,8.993,8.937,7.115,20.552,4.079,0.059,0.425,-0.497,-0.900,-0.400,-0.531,-0.031,0.789,4.217,1.222,98.129,0.484
0.096,10.730,0.193,0.173,-10.556,8.868,9.123,0.255,8.868,0.000,7.123,19.829,4.741,0.049,0.586,-0.321,-0.901,-0.383,-0.393,0.125,0.563,2.271,1.392,168.315,0.948
0.097,10.745,0.217,0.385,-10.360,8.398,9.071,0.672,8.398,0.000,6.709,20.617,9.385,0.161,0.888,-0.380,-1.208,-0.777,-0.363,0.068,1.234,4.382,1.608,123.442,1.731
0.078,9.758,0.183,-0.904,-10.663,8.862,8.857,-0.006,8.801,8.924,7.114,20.762,3.115,0.052,0.655,-0.510,-0.760,-0.615,-0.290,-0.145,0.639,4.691,1.169,80.459,1.372
0.155,10.410,0.176,0.453,-9.957,8.977,9.076,0.100,8.973,8.981,7.335,20.158,3.827,0.027,0.454,-0.458,-0.708,-0.353,-0.257,0.098,0.423,6.900,1.205,78.950,1.809
0.104,10.545,0.207,0.064,-10.481,8.967,9.128,0.161,8.960,8.975,6.957,20.715,5.489,0.067,0.472,-0.463,-1.075,-0.427,-0.552,0.095,0.590,5.607,1.286,76.950,1.878
0.096,10.149,0.190,-0.572,-10.721,8.879,8.990,0.111,8.786,8.971,6.907,21.204,4.899,0.137,0.668,-0.466,-1.014,-0.626,-0.433,-0.045,1.260,3.152,1.245,31.689,0.686
0.162,10.793,0.211,0.511,-10.282,9.092,9.198,0.106,9.127,9.057,7.501,20.316,4.649,0.049,0.193,-0.399,-0.718,-0.052,-0.458,0.208,0.472,4.167,1.268,133.462,1.205
0.096,10.648,0.182,-0.251,-10.899,9.123,9.256,0.133,9.123,0.000,7.390,20.404,3.757,0.037,0.202,-0.297,-0.810,0.033,-0.581,0.263,0.413,3.287,1.242,42.824,0.733
0.096,9.962,0.164,-0.217,-10.179,8.848,8.871,0.024,8.835,8.860,7.148,20.570,3.771,0.034,0.621,-0.575,-0.707,-0.637,-0.178,-0.108,0.356,5.734,1.160,91.946,0.783
0.084,10.128,0.186,-0.198,-10.325,8.884,8.948,0.064,8.853,8.916,7.035,20.258,4.020,0.033,0.602,-0.517,-0.868,-0.586,-0.351,-0.069,0.509,6.097,1.166,89.234,1.772
0.093,10.099,0.192,-0.133,-10.232,8.982,9.083,0.101,8.949,9.014,7.167,20.237,3.531,0.038,0.486,-0.430,-0.851,-0.389,-0.385,0.078,0.295,5.495,1.223,34.636,0.936
0.170,10.330,0.157,0.449,-9.881,8.976,9.126,0.151,9.013,8.938,7.170,20.870,4.336,0.047,0.393,-0.496,-0.868,-0.355,-0.381,0.132,0.341,6.339,1.144,72.721,0.116
0.113,10.543,0.194,-0.143,-10.686,8.999,9.111,0.112,8.984,9.014,7.423,20.616,4.797,0.088,0.437,-0.431,-0.663,-0.302,-0.210,0.151,0.920,5.062,1.357,103.022,1.136
0.157,10.137,0.284,0.495,-9.643,8.926,9.058,0.132,8.920,8.931,7.210,20.811,4.268,0.037,0.523,-0.503,-0.742,-0.479,-0.169,0.094,0.257,7.639,1.151,153.927,1.385
0.111,9.624,0.155,-0.401,-10.025,8.874,8.880,0.006,8.869,8.879,7.303,21.071,3.101,0.034,0.585,-0.555,-0.594,-0.559,-0.125,-0.090,0.342,5.318,1.104,19.357,0.674
0.161,10.520,0.178,0.299,-10.220,9.028,9.114,0.086,9.105,8.951,7.240,20.628,4.393,0.049,0.235,-0.485,-0.876,-0.199,-0.613,0.064,0.547,6.944,1.209,39.229,1.112
0.084,10.273,0.190,-0.640,-10.913,8.925,8.987,0.062,8.908,8.943,6.979,21.028,4.480,0.091,0.539,-0.492,-0.982,-0.517,-0.535,-0.070,0.729,3.214,1.380,109.348,1.207
0.088,9.942,0.186,-0.861,-10.803,8.944,9.011,0.067,8.941,8.947,7.051,21.072,4.080,0.119,0.496,-0.488,-0.930,-0.464,-0.501,-0.035,1.012,4.474,1.429,97.862,0.789
0.103,9.990,0.151,-0.215,-10.205,8.923,8.993,0.070,8.914,8.931,7.206,20.862,3.674,0.036,0.531,-0.503,-0.744,-0.484,-0.265,-0.006,0.362,5.958,1.205,43.063,1.117
0.093,10.155,0.176,-0.397,-10.553,8.949,8.844,-0.104,9.044,8.853,7.444,21.049,4.542,0.083,0.344,-0.583,-0.614,-0.355,-0.447,-0.188,0.713,7.377,1.370,79.123,2.388
0.080,9.658,0.153,-0.968,-10.626,8.747,8.699,-0.048,8.676,8.819,6.992,21.310,3.401,0.075,0.756,-0.620,-0.759,-0.835,-0.197,-0.274,0.786,3.889,1.262,0.000,0.541
0.156,10.729,0.193,0.463,-10.267,8.933,9.050,0.117,8.939,8.927,7.064,20.571,5.007,0.061,0.499,-0.507,-0.895,-0.496,-0.355,0.044,0.573,7.208,1.352,138.120,1.502
0.113,10.378,0.165,-0.017,-10.395,9.033,9.189,0.156,9.114,8.952,7.275,20.518,4.007,0.038,0.218,-0.484,-0.852,-0.170,-0.496,0.187,0.446,5.709,1.206,70.717,1.170
0.071,10.101,0.191,-0.738,-10.840,9.057,9.171,0.114,9.167,8.947,7.781,20.715,4.327,0.079,0.112,-0.488,-0.581,-0.016,-0.374,0.191,0.743,-1.530,1.507,46.768,0.968
0.090,10.554,0.186,0.416,-10.139,9.049,9.189,0.140,9.062,9.037,7.152,19.779,4.960,0.027,0.314,-0.413,-0.958,-0.217,-0.572,0.169,0.448,4.400,1.315,127.335,1.480
0.077,9.914,0.171,-0.801,-10.715,8.916,8.977,0.061,8.889,8.942,7.040,20.907,3.754,0.065,0.561,-0.492,-0.900,-0.528,-0.430,-0.058,0.552,5.395,1.299,112.088,1.051
0.079,10.001,0.173,-0.294,-10.295,8.948,9.057,0.109,8.880,9.016,7.225,20.323,4.204,0.040,0.572,-0.429,-0.745,-0.453,-0.208,0.084,0.429,6.738,1.328,63.057,0.753
0.100,10.317,0.183,-0.316,-10.633,9.042,9.119,0.076,9.042,0.000,7.581,20.441,3.934,0.063,0.347,-0.378,-0.624,-0.154,-0.338,0.132,0.554,5.180,1.266,93.867,1.060
0.084,9.971,0.165,-0.297,-10.268,8.918,9.015,0.097,8.915,8.920,7.165,20.384,3.609,0.029,0.530,-0.513,-0.782,-0.494,-0.268,0.021,0.402,6.197,1.215,83.428,0.861
0.105,9.316,0.199,-0.078,-9.394,8.841,8.855,0.014,8.832,8.849,7.341,21.072,3.740,0.029,0.624,-0.587,-0.527,-0.608,-0.010,-0.091,0.209,4.243,1.167,0.000,1.678
0.095,10.379,0.175,0.037,-10.342,9.017,9.170,0.153,8.986,9.047,7.094,20.261,4.803,0.043,0.434,-0.406,-0.970,-0.320,-0.488,0.162,0.621,4.814,1.368,70.983,1.392
0.093,10.662,0.216,0.654,-10.007,9.011,9.153,0.141,9.019,9.003,7.192,19.331,4.984,0.022,0.384,-0.439,-0.877,-0.299,-0.423,0.155,0.479,5.997,1.210,102.802,1.982
0.101,10.042,0.169,-0.519,-10.561,8.967,8.984,0.016,9.026,8.909,7.221,20.939,3.767,0.063,0.374,-0.525,-0.803,-0.373,-0.496,-0.065,0.657,5.485,1.319,40.931,1.353
0.095,10.501,0.209,0.043,-10.458,8.993,9.127,0.133,9.022,8.964,6.999,20.509,5.435,0.061,0.379,-0.473,-1.070,-0.344,-0.657,0.070,0.677,5.652,1.348,77.603,1.801
0.094,9.882,0.156,-0.308,-10.190,8.932,8.939,0.007,8.957,8.907,7.181,20.653,4.181,0.050,0.475,-0.526,-0.783,-0.470,-0.402,-0.088,0.561,5.615,1.291,90.609,0.701
0.096,10.142,0.187,-0.007,-10.149,8.976,9.010,0.035,9.014,8.937,7.432,20.326,4.128,0.031,0.393,-0.497,-0.647,-0.317,-0.328,0.002,0.500,7.982,1.269,80.946,2.388
0.073,9.884,0.187,-0.917,-10.801,8.979,9.045,0.066,9.012,8.946,7.232,20.821,3.627,0.066,0.396,-0.488,-0.808,-0.345,-0.445,0.019,0.623,2.221,1.336,146.797,0.739
0.094,10.110,0.179,0.146,-9.964,8.972,9.014,0.042,8.979,8.964,7.206,20.162,4.277,0.025,0.444,-0.472,-0.814,-0.382,-0.453,-0.021,0.377,5.959,1.219,105.044,1.671
0.139,10.707,0.190,0.387,-10.320,9.005,9.123,0.119,8.997,9.013,7.229,20.136,5.133,0.057,0.418,-0.432,-0.824,-0.324,-0.370,0.131,0.822,3.337,1.287,143.469,0.763
0.094,9.672,0.152,-0.585,-10.257,8.775,8.711,-0.064,8.759,8.791,7.202,21.145,3.715,0.052,0.692,-0.652,-0.567,-0.757,-0.044,-0.233,0.434,2.265,1.267,22.393,0.116
0.100,10.313,0.181,-0.509,-10.822,9.100,9.232,0.132,9.100,0.000,7.402,20.405,4.112,0.083,0.246,-0.384,-0.777,-0.078,-0.435,0.264,0.829,2.395,1.351,48.817,0.749
0.072,10.112,0.195,0.054,-10.058,8.962,9.032,0.070,9.038,8.885,7.102,19.616,4.242,0.021,0.353,-0.549,-0.926,-0.379,-0.573,-0.026,0.480,5.181,1.216,77.083,1.888
0.114,10.295,0.196,-0.291,-10.587,8.899,9.079,0.181,8.899,0.000,7.447,20.269,3.840,0.054,0.550,-0.369,-0.618,-0.345,-0.148,0.125,0.860,2.623,1.311,91.571,0.471
